type,sub_type,text,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built,Price_Per_SqFt
single_family,,"Experience The Best Of North Texas Living In This Beautifully Maintained [Redacted Entity] George Bush Turnpike (PGBT 190), [Redacted Entity]! Perfect For [Redacted Entity], This Move-In Ready Home Also Offers Easy Access To Outdoor Recreation At [Redacted Entity] And [Redacted Entity]. Inside, The Bright Open Floor Plan Is Filled With Natural Light And Showcases Luxury [Redacted Entity], A Cozy Gas [Redacted Entity] And A Modern Neutral Color Palette That Buyers Love. The Gourmet Kitchen Is The Heart Of The Home And Features Elegant Quartz Countertops, Gas Cooktop, Built-In Oven, [Redacted Entity], Family Gatherings And Everyday Living. [Redacted Entity] Is A True Retreat With A Private Reading Nook And A Spa-Inspired Bathroom With Dual Vanities, Separate Shower And Relaxing Soaking Tub Creating A Luxury Hotel-Style Experience At Home. Two Additional Bedrooms Upstairs Share A Full Bathroom, Offering A Functional Layout Ideal For Family, Guests Or A Home Office. The Convenient Second Floor Utility Room Makes Laundry Day Easy And Efficient. Step Outside To Enjoy Your Private Covered Patio Perfect For Outdoor Living, Grilling And [Redacted Entity] Overlooking A Large Backyard With Plenty Of Space For Play, Pets Or Gardening. Located Just Minutes From The Popular 36-Acre Heritage Park Featuring Splash Pads, Walking And Running Trails, [Redacted Entity] And [Redacted Entity], [Redacted Entity], Location And Lifestyle In One Of Sachses Most Desirable Areas Near Firewheel Shopping, Major Highways And Outdoor Recreation.",499000.0,2040.0,2.0,3.0,3.0,2.0,2.0,2.0,2021.0,244.61
single_family,,"Welcome home to [Redacted Entity], [Redacted Entity]. Property qualifies for [Redacted Entity] financing with a preferred lender, offering zero down payment options (buyer to verify eligibility). Home includes a 1-2-10 builders warranty, with appliances and survey available. Seller concessions toward closing costs or interest rate buy-down. This stunning new construction offers the perfect blend of space, comfort, and country living just outside the city. Featuring 6 bedrooms, 3.5 baths, and a spacious two-story open-concept floor plan, this home provides flexibility for living, working, and entertaining. Situated on .89 acres, enjoy added privacy and room to grow, along with a covered back patio ideal for outdoor relaxation. A rare opportunity to own new construction with space, value, and financing optionsschedule your showing today.",494500.0,3674.0,2.0,6.0,4.0,3.0,3.0,,2025.0,134.59
single_family,,Welcome to this beautiful home located in [Redacted Entity] featuring 3 bedrooms 2.5 bathrooms with the master downstairs and a nice private kitchen. [Redacted Entity] comes with free solar panels which will save you tons in electricity bills Give us a call to schedule a showing.,229000.0,1650.0,2.0,3.0,3.0,2.0,2.0,2.0,2020.0,138.79
single_family,,"Welcome to [Redacted Entity] - where style, comfort, and convenience meet in the heart of [Redacted Entity]. Step inside this beautifully designed [Redacted Entity] [Redacted Entity] residence and experience craftsmanship that stands out. The [Redacted Entity] floor plan offers a spacious and functional layout featuring 3 bedrooms, a private study with French doors, and elegant design details throughout. The living room greets you with tray ceilings, warm natural light, and a wood-burning fireplace - perfect for cozy evenings or entertaining guests. The kitchen and dining areas flow seamlessly, creating a welcoming space for everyday living and gatherings. Your primary suite is a serene retreat with two walk-in closets, dual vanities, a relaxing jetted tub, and a separate shower. Outside, enjoy 4-side masonry construction, full gutters, and an extended driveway - a perfect blend of beauty and practicality. Located just minutes from [Redacted Entity], Clear Creek Gate to [Redacted Entity], local shopping, and restaurants, this home offers the convenience of city living with the comfort of a peaceful neighborhood. Whether you're starting your next chapter or finding your forever home, [Redacted Entity] invites you to live beautifully. *Incentives Offering up to $500.00 for a 1-year service contract and $2,500.00 towards a buyer's closing costs. There is also a 1% Preferred Lender Credit when using the preferred lender.",260000.0,1741.0,1.0,3.0,2.0,2.0,2.0,2.0,2005.0,149.34
single_family,single family detached,"***READY NOW*** Discover this stunning new construction home located at 6734 Red Buffalo Trail in [Redacted Entity], [Redacted Entity]. Built by M/I Homes, this thoughtfully designed 4-bedroom, 3-bathroom home offers 2,255 square feet of comfortable living space. The home features an inviting open-concept living space that seamlessly connects the main areas, creating an ideal environment for both daily life and entertaining. The owner's bedroom is conveniently located on the main floor, providing easy accessibility and privacy. Key Features:4 spacious bedrooms with owner's bedroom on main level3 full bathrooms throughout the home2,255 square feet of well-planned living spaceOpen-concept design connecting main living areasNew construction with contemporary finishesQuality craftsmanship by M/I HomesThis [Redacted Entity] neighborhood offers excellent proximity to parks, making it perfect for families who enjoy outdoor activities and recreation. The area is known for its quality of design and well-established community feel. The home's thoughtful floorplan maximizes functionality while maintaining an open, airy atmosphere. Each room has been designed with attention to detail, ensuring both comfort and style throughout the space. Experience the benefits of new construction living with the peace of mind that comes from a trusted builder. This home represents an excellent opportunity to own a quality residence in a desirable [Redacted Entity] neighborhood.",334990.0,2255.0,2.0,4.0,4.0,3.0,3.0,2.0,2025.0,148.55
single_family,,"This inviting property highlights the best of [Redacted Entity] living with the Venetian design by [Redacted Entity]. The Venetian floor plan includes 4 generously sized bedrooms, ideal for families or those who enjoy having extra space for visitors. In addition, there are 2.5 well-appointed bathrooms that enhance the home's functionality. A large great room offers a versatile space for daily living or hosting gatherings, while the 2-car garage ensures secure parking and added storage. This home combines thoughtful design with practicality, creating an exceptional environment to call your own.",332950.0,2344.0,2.0,4.0,,2.0,2.0,2.0,,142.04
single_family,,"Welcome to [Redacted Entity] in the Heart of [Redacted Entity], [Redacted Entity]! Experience the epitome of modern living with our thoughtfully designed single-family homes. From spacious layouts to premium finishes, each home at [Redacted Entity] is crafted with meticulous attention to detail to ensure your utmost comfort and satisfaction. Whether you're starting a family, upgrading your space, or seeking a peaceful retreat, [Redacted Entity] has the perfect home for you. Living in [Redacted Entity] Benefits: Conveniently located just minutes from [Redacted Entity] and within easy reach of major highways, [Redacted Entity] offers the perfect balance of tranquility and accessibility. Enjoy the serene ambiance of small-town living while being just a short drive away from shopping, dining, entertainment, and employment opportunities in the vibrant city of [Redacted Entity]. Plus, with top-rated schools and recreational facilities nearby, [Redacted Entity] is the ideal place to call home for families, professionals, and retirees alike. Unlimited Amenities at Your Fingertips: Experience a lifestyle of convenience and leisure with an array of local amenities right at your doorstep. From scenic parks and nature trails to charming boutiques and restaurants, [Redacted Entity] has everything you need for a fulfilling life. Spend your weekends exploring the great outdoors, enjoying community events, or simply unwinding in the comfort of your beautiful new home.",399990.0,1944.0,,4.0,2.0,2.0,2.0,3.0,,205.76
single_family,,"The [Redacted Entity] floor plan embodies the ideal home for most any lifestyle with enough space for everyone. The home includes a two-car garage that you have the ability to transform into a two-and-a-half-car garage if you are needing the extra space to keep your tools, holiday decorations, or for anything else you may need to store! The entrance of the home boasts a private study room, a powder room with a white pedestal sink and decorative mirror, and an exclusive two-story dining space right down the hall. Connected to the dining space is an open-concept kitchen. The kitchen has everything you want and more - complete with granite counters, ample counterspace, a large walk-in pantry, and even the option for an island! You will then come across the oversized family room, perfect for gatherings with family and friends. If you are looking to embrace the great outdoors, lead the way from your family room to your optional covered patio. Your secluded [Redacted Entity] awaits down the hall with three windows, letting abundant natural light seep in. Attached is your master bathroom which allows for double vanities with LED down lighting, a linen shelf, a standard shower/bathtub enclosure, and a massive walk-in closet. Want to escalate the master bathroom a tad bit more? Decide to have a master bathroom super shower instead, or a luxury bath for optimal relaxation. You deserve to feel comfortable, relaxed, and at peace in your new home! Heading up the stairs, you will find three...",344699.0,2280.0,2.0,4.0,3.0,2.0,2.0,2.0,,151.18
single_family,,"Beautifully designed single-story home located in the gated Harbor Lakes Plantation community of [Redacted Entity]. This 4-bedroom, 3-bath residence offers 2, 591 sq ft of thoughtfully planned living space with high ceilings, quality finishes, and a split-bedroom layout ideal for privacy and functionality. The open-concept living area is anchored by a striking floor-to-ceiling stone fireplace with a custom wood mantel and flows seamlessly into the kitchen. The kitchen features an oversized island, granite countertops, under-cabinet lighting, walk-in pantry, vent hood, and upgraded 5-burner gas cooktop, making it perfect for everyday living and entertaining alike. The primary suite is a true retreat with dual vanities, garden tub, extended walk-in shower, linen storage, and a spacious walk-in closet. A private guest suite with en-suite bath, dedicated office with French doors, and additional split bedrooms provide flexibility for work, guests, or multigenerational living. Additional highlights include a separate utility room with built-in cabinets and sink, epoxy-coated two-car garage, covered patio, sprinkler system, and landscaped backyard. Energy-efficient construction adds long-term value and comfort. Move-in ready and ideally located near [Redacted Entity] amenities, shopping, dining, and [Redacted Entity] home delivers style, comfort, and functionality in one exceptional package.",584900.0,2591.0,1.0,4.0,3.0,3.0,3.0,2.0,2021.0,225.74
single_family,,"Incredible views of [Redacted Entity] from this 1.5 story home in [Redacted Entity]. Sitting on a bulkhead lot adjacent to the fresh water slough. This home has plenty of deck area for entertaining. Standing seem metal roof, transom windows and boat-tail rafters provide an [Redacted Entity] feel. Inside amentities include an island kitchen and open concept living combo with fireplace and plenty of seating. Built-in bunks, hardwood and tile floors throughout. This home would make an excellent second home or investment property.",749000.0,2050.0,2.0,4.0,3.0,3.0,3.0,2.0,2010.0,365.37
single_family,,"Experience the elegance of the [Redacted Entity] EXT50 Farmhouse -- a premier design located in Verdancia Unit 1. This stunning 4-bedroom, 3-bathroom residence combines superior design along with the best in residential construction. [Redacted Entity]: enjoy the benefits of spray foam insulation on all exterior walls and 14 SEER HVAC system. Sophisticated Details: finished plywood cabinets with decorative lighting, quartz countertops and stylish window shutters. Spacious Interiors: impressive 10 and 12 foot ceilings throughout the home. This home offers remarkable value and a unique opportunity for all buyers. Contact us today to schedule your appointment and explore the luxury of [Redacted Entity] premier new construction home builder!",422950.0,2107.0,1.0,4.0,3.0,3.0,3.0,2.0,2026.0,200.74
single_family,,"Discover The [Redacted Entity] floor plan in Turnbo Ranch, [Redacted Entity], [Redacted Entity]-a beautiful balance of timeless charm and modern design. Offering approximately 1,952 sq. ft., this thoughtfully crafted two-story home with 3 bedrooms, 2.5 bath, and a spacious two-car garage. Step through the inviting arched patio into a grand foyer that opens to an expansive living room. The open-concept layout flows seamlessly into the dining area and chef-inspired kitchen-perfect for daily living and entertaining. The kitchen showcases granite countertops, stainless steel appliances, a large island overlooking the living space, and a deep single-basin sink for added convenience. Upstairs, the design separates living and private spaces for comfort and privacy. The main suite is a peaceful retreat, featuring a walk-in shower, separate water closet, ample built-in storage, and a generous walk-in closet. Additional bedrooms and a conveniently located utility room provide plenty of space for family and guests. Every [Redacted Entity] home comes equipped with [Redacted Entity], giving you control and security at your fingertips. With style, efficiency, and innovation woven into every detail, The [Redacted Entity] floor plan is the perfect place to call home. Contact us today to learn more about this exceptional opportunity!",285190.0,1952.0,2.0,4.0,3.0,2.0,2.0,2.0,2026.0,146.1
